rec_number	first_author	year	pmid	title	abstract
1556	Shaffer, B M	1961		Species differences in the aggregation of the Acrasieae.	Proc. of the 9th Int. Bot. Congress; 1959; Montreal.
1557	Shaffer, B M	1961		The cells founding aggregation centres in the slime mould Polysphondylium violaceum.	
5087	Shaffer, B M	1961		Aggregation in the Dictyosteliaceae.	University of Toronto Press.
7917	Sonneborn, D R	1961		An antigenic change during slime mold development	abstract G61
3250	Sussman, M	1961		Cultivation and serial transfer of the slime mold Dictyostelium discoideum in liquid nutrient medium.	
3428	Sussman, M	1961		Cellular differentiation in the slime mold.	
3252	Sussman, M	1961		Aggregative performance.	
7918	Sussman, M	1961		Haploidization of diploid strains of Dictyostelium discoideum	abstract G113
3251	Sussman, R R	1961		A method for staining the chromosomes of Dictyostelium discoideum myxamoebae in the vegetative stage.	
1971	White, G J	1961		Metabolism of major cell components during slime mold morphogenesis.	
3380	Wright, B E	1961	13786768	In vivo evidence for metabolic shifts in the differentiating slime mold.	
114	Bonner, J T	1962	13968823	Evidence for gas-induced orientation in the cellular slime molds.	
115	Bonner, J T	1962		Aggregation territories in the cellular slime molds.	
2806	Davidoff, F	1962	14025332	Synthesis of unsaturated fatty acids in the cellular slime mold.	
3459	Davidoff, F	1962		Lipids of Dictyostelium discoideum: phospholipid composition and the presence of two new fatty acids: cis,cis-5,11-octadecadienoic and cis,cis-5,9-hexadecadienoic acids.	
5085	Davidoff, F	1962	14025331	Further studies on the biosynthesis of fatty acids in the cellular slime molds.	
428	Filosa, M F	1962		Heterocytosis in cellular slime molds.	
5084	Francis, D W	1962		The movement of pseudoplasmodia of Dictyostelium discoideum.	
532	Gerisch, G	1962		Zellfunktionen und Zellfunktionwechsel in der Entwicklung von Dictyostelium discoideum. IV. Der Zeitplan der Entwicklung.	
533	Gerisch, G	1962	13897954	Zellfunktionen und Zellfunktionswechsel in der Entwicklung von Dictyostelium discoideum. VI. Inhibitoren der Aggregation, Ihr einfluss auf Zellkontaktbildung und morphogenetische Bewegung.	"Article in German.  English title: ""Cell functions and cell function changes in the development of Dictyostelium discoideum. VI. Inhibitors of aggregation, their effect on cellular contact formation and morphogenetic movements"""
3478	Gerisch, G	1962		Die zellularen Schleimpilze als Objekte der Entwicklungsphysiologie.	Meeting issue.
568	Gezelius, K	1962		Growth of the cellular slime mold Dictyostelium discoideum on dead bacteria in liquid media.	
733	Huffman, D M	1962	14449751	Anastomosis and cell fusions in Dictyostelium.	
3379	Johnson, D F	1962		Biogenesis of delta22-stigmasten-3beta-ol in Dictyostelium discoideum.	
5232	Krichevsky, M I	1962		The effect of environmental factors on the rate of morphogenesis in the cellular slime mold, Dictyostelium discoideum.	Abstract no. A2.8
4461	Krivanek, J O	1962		Evidence for the occurrence of transamination in the developing slime mold, Dictyostelium discoideum.	abstract no. 298
3555	Rafaeli, D C	1962		Studies on mixed morphological mutants of Polysphondylium violaceum.	
4527	Raper, K B	1962		The environment and morphogenesis in cellular slime molds.	
3028	Schildkraut, C L	1962	13991688	Deoxyribonucleic acid base composition and taxonomy of some Protozoa.	
4581	Schildkraut, C L	1962	14498379	Determination of the base composition of deoxyribonucleic acid from its buoyant density in CsCl.	
1558	Shaffer, B M	1962		The Acrasina.	
3136	Sonneborn, D R	1962		Immunological analysis of the development of the cellular slime mold, Dictyostelium discoideum.	
1410	Sussman, M	1962		Ploidal inheritance in Dictyostelium discoideum: stable haploid, stable diploid and metastable strains.	
2018	Weitzman, I	1962		Studies on the nutrition of Acrasis rosea.	
3305	White, G J	1962		Biochemical events accompanying cellular slime mold development.	
4272	Allen, J R	1963		Culture of the acrasiales Polysphondylium pallidum WS-320 in defined media.	
102	Bonner, J T	1963	5850874	Epigenetic development in the cellular slime moulds.	
3441	Bonner, J T	1963		How slime molds communicate.	
119	Bonner, J T	1963	14061960	Evidence for a substance responsible for the spacing pattern of aggregation and fruiting in the cellular slime molds.	
3377	Bruhmuller, M	1963		Glutamate oxidation in the differentiating slime mold. II. Studies in vitro.	
6049	Coemans, E	1963		Recherches sur le polymorphisme et les differents appareils de reproduction chez les mucorinees - Deuxiemes parties.	
286	Davidoff, F	1963	14085362	Fatty acid and phospholipid composition of the cellular slime mold, Dictyostelium discoideum.  The occurrence of previously undescribed fatty acids.	
287	Davidoff, F	1963	14085363	The biosynthesis of fatty acids in the cellular slime mold, Dictyostelium discoideum.	
3479	Gerisch, G	1963		Eine fur Dictyostelium ungewohnliche Aggregationsweise.	\ original mitteilung (original communication).
4993	Gezelius, K	1963		Alkaline phosphatase and inorganic phosphate in Dictyostelium discoideum.	abstract G100
3557	Hirschy, R A	1963		The macrocyst of Dictyostelium purpureum.	
2030	Hohl, H R	1963	14086107	Nutrition of cellular slime molds III. Specific growth requirements of Polysphondylium pallidum.	
723	Hohl, H R	1963	13961228	Nutrition of cellular slime molds. I. Growth on living and dead bacteria.	
724	Hohl, H R	1963	13961229	Nutrition of cellular slime molds. II. Growth of Polysphondylium pallidum in axenic culture.	
4807	Hohl, H R	1963		Sorocarp formation by Dictyostelium discoideum in crowded populations.	abstract G77
734	Huffman, D M	1963		A significant morphogenetic variant of Dictyostelium mucoroides.	
3378	Krichevsky, M I	1963	14053267	Environmental control of the course of development in Dictyostelium discoideum.	
4513	Olive, L	1963		The question of sexuality in cellular slime molds.	
3593	Rai, J N	1963		Studies in cellular slime moulds from Indian soils. II. On the occurrence of an aberrant strain of Polysphondylium violaceum Bref with a discussion on the relevance of mode of branching of the sorocarp as a criterion for classifying members of Dictyosteliaceae.	
3594	Rai, J N	1963		Studies in cellular slime moulds from Indian soils. III. On the occurrence of two strains of Dictyostelium mucoroides complex, conforming to the species Dictyostelium sphaerocephalum (Oud). Saccardo and March.	
1316	Shaffer, B M	1963		Behaviour of particles adhering to amoebae of the slime mold Polysphondylium violaceum and the fate of the cell surface during locomotion.	
